"cell_type","gene","avg_log2FC","p_val","p_val_adj","pct.1","pct.2"
"PreB","Slc15a4",-0.944303925584692,0.0171841262754604,1,0.268,0.38
"PreB","Akr1c13",3.91485704251398,0.0183592177039276,1,0.031,0.003
"PreB","Epha2",-1.07496730275974,0.0371732480241148,1,0.047,0.109
"PreB","Ptger4",-0.970477627489618,0.0552545674246377,1,0.079,0.143
"PreB","Aldh1b1",-1.3045156540601,0.0620772901968829,1,0.071,0.133
"PreB","Rpia",-0.898959283052443,0.120613657544831,1,0.449,0.49
"PreB","Tnni2",1.19937913943682,0.162793945550663,1,0.031,0.016
"PreB","Tpst1",-1.14037820059682,0.288919799196283,1,0.126,0.159
"PreB","Tnfsf11",4.7251027933472,0.995280889068068,1,0.079,0
"PreB","Dlx1",5.06927156086557,0.995298856044156,1,0.079,0
"PreB","Ctla2a",4.26045356703623,0.995363431310851,1,0.039,0
"PreB","Prss16",4.35300739521704,0.995389869789337,1,0.055,0
"PreB","Cst7",3.40146111853516,0.995545458953758,1,0.031,0
"PreB","Slc5a9",3.2637135186744,0.995545458953767,1,0.024,0
"PreB","Enpep",-3.33541348445672,0.995775562291136,1,0,0.047
"PreproB","Ccnd3",-0.558968396369477,0.00172377183508754,1,0.532,0.595
"PreproB","Mybl2",-2.89920716180203,0.00193577795907343,1,0.009,0.042
"PreproB","Tnfrsf13c",-1.20069991972397,0.005486269339163,1,0.107,0.155
"PreproB","Cd79a",-2.17615141541071,0.0396768954983388,1,0.036,0.06
"PreproB","Lck",-1.24574229549238,0.051782143529825,1,0.036,0.089
"PreproB","Ccl3",-2.40365795741559,0.0912296150796217,1,0.013,0.012
"PreproB","Mylip",-0.463345132983795,0.0967355476370496,1,0.139,0.167
"PreproB","H2-Ob",-0.551486385485397,0.143744855589893,1,0.081,0.089
"PreproB","Cd36",-2.61518231630785,0.154077197513356,1,0.002,0.018
"PreproB","Lcp2",-1.22279794652491,0.189249254246041,1,0.037,0.054
"PreproB","Dlg3",-0.380717716678114,0.193264809257899,1,0.026,0.042
"PreproB","Myl4",-1.99269592683858,0.242754554545738,1,0.004,0.03
"PreproB","Prss16",-0.976059396352606,0.249860817068983,1,0.011,0.012
"PreproB","Ebf1",-0.807725419594991,0.385434928154372,1,0.037,0.054
"PreproB","Akap12",-0.416224014911027,0.424290058741889,1,0.06,0.065
"PreproB","Ttll11",-0.695366377479297,0.428704123260088,1,0.017,0.03
"PreproB","Cd19",-0.987368304863795,0.478404637259655,1,0.013,0.03
"PreproB","Vpreb3",-1.10415058277492,0.511305102309015,1,0.019,0.042
"PreproB","Oasl1",-0.468351011467136,0.518704397058889,1,0.099,0.113
"PreproB","Cd55",-0.54710759399325,0.563533160153541,1,0.021,0.03
"PreproB","Tpst1",-0.377119883291323,0.616899672923149,1,0.021,0.03
"PreproB","Serpinb6b",-0.718103821804475,0.622281095472286,1,0.036,0.054
"PreproB","Bst1",-0.542577409257064,0.640843264070041,1,0.019,0.03
"PreproB","Eps8",-0.824667146800093,0.660869836680515,1,0.007,0.006
