"contrast","gene","estimate","SE","df","t.ratio","p.value","gene_type","padj","chain"
"MUT - WT","IGKV5-39",-0.667218822059939,0.350171117251151,553,-1.90540792540978,0.0572454110741197,"v_gene",0.132641806147351,"IGK"
"MUT - WT","IGHV5-15",0.732157301552004,0.391503210965312,553,1.87011825457768,0.0619954806479074,"v_gene",0.141917365338583,"IGH"
"MUT - WT","IGKV3-4",-0.710926987195856,0.391503210965311,553,-1.8158905656047,0.0699285531411331,"v_gene",0.158171727343039,"IGK"
"MUT - WT","IGHV1-5",-0.6231332509378,0.35017111725115,553,-1.77951070273702,0.0757051828517556,"v_gene",0.169223349903924,"IGH"
"MUT - WT","IGKV4-74",0.68788081691448,0.391503210965311,553,1.75702471307554,0.0794669633944591,"v_gene",0.17556654703427,"IGK"
"MUT - WT","IGLC2",0.351875189315456,0.197999217707681,24,1.77715444227134,0.0882202705921364,"c_gene",0.192664958764436,"IGL"
"MUT - WT","IGHV5-17",0.586880516480479,0.35017111725115,553,1.67598207724127,0.0943069355509496,"v_gene",0.203617247212278,"IGH"
"MUT - WT","IGHV1-53",-0.566008578392632,0.350171117251152,553,-1.61637710967086,0.106583096163179,"v_gene",0.227536946865214,"IGH"
"MUT - WT","IGKV4-80",0.558154130634235,0.350171117251151,553,1.59394679668544,0.111519307494484,"v_gene",0.235429649155022,"IGK"
"MUT - WT","IGKV14-111",-0.609383574793722,0.391503210965311,553,-1.5565225462422,0.120155971343543,"v_gene",0.250875105003001,"IGK"
"MUT - WT","IGKV19-93",-0.52979947161063,0.350171117251151,553,-1.51297307376338,0.130857768795,"v_gene",0.270249739902717,"IGK"
"MUT - WT","IGHV1-37",0.909657208378508,0.606514166422165,553,1.49981197264458,0.134233784192265,"v_gene",0.274241064478822,"IGH"
"MUT - WT","IGHV1-66",-0.716534323731775,0.495216743167916,553,-1.44691053688549,0.14848857190443,"v_gene",0.293929368956537,"IGH"
"MUT - WT","IGKV12-46",-0.506637381288954,0.35017111725115,553,-1.44682801159064,0.148511681156987,"v_gene",0.293929368956537,"IGK"
"MUT - WT","IGKV8-27",0.509848925375955,0.35017111725115,553,1.45599936790412,0.145960274481271,"v_gene",0.293929368956537,"IGK"
"MUT - WT","IGKV4-54",0.868892856447745,0.606514166422152,553,1.43260109087538,0.152536900836815,"v_gene",0.298783620195823,"IGK"
"MUT - WT","IGHV9-3",0.495848631912514,0.350171117251151,553,1.41601807654764,0.157333194744851,"v_gene",0.305033744913486,"IGH"
"MUT - WT","IGKV2-112",-0.696379362618162,0.495216743167916,553,-1.40621126451299,0.160223050390506,"v_gene",0.307498783577738,"IGK"
"MUT - WT","IGHV11-2",0.691004777188938,0.495216743167916,553,1.39535826831815,0.163467900015659,"v_gene",0.310589010029752,"IGH"
